ArraySize,Run,Kth,EmpiricalComparisons,ExpectedComparisons,RunningTime(us)
20000,50,Median,26358,40000,2296
20000,51,First,23433,40000,1658
20000,51,25%,17773,40000,2377
20000,51,Median,25977,40000,2313
20000,52,First,23397,40000,1814
20000,52,25%,16896,40000,2345
20000,52,Median,26002,40000,2357
20000,53,First,23417,40000,1665
20000,53,25%,16530,40000,2323
20000,53,Median,27188,40000,2383
20000,54,First,23273,40000,1641
20000,54,25%,16867,40000,2328
20000,54,Median,26330,40000,2323
20000,55,First,23363,40000,1666
20000,55,25%,16362,40000,2330
20000,55,Median,26681,40000,2280
20000,56,First,23539,40000,1680
20000,56,25%,17124,40000,2324
20000,56,Median,26614,40000,2333
20000,57,First,23285,40000,1650
20000,57,25%,17782,40000,2684
20000,57,Median,26135,40000,2370
20000,58,First,23287,40000,1655
20000,58,25%,15694,40000,2314
20000,58,Median,26214,40000,2320
20000,59,First,23541,40000,1684
20000,59,25%,17221,40000,2440
20000,59,Median,27247,40000,2406
20000,60,First,23213,40000,1909
20000,60,25%,16418,40000,2317
20000,60,Median,26553,40000,2325
20000,61,First,23175,40000,1650
20000,61,25%,17538,40000,2410
20000,61,Median,27787,40000,2316
20000,62,First,23285,40000,1685
20000,62,25%,16980,40000,2369
20000,62,Median,26519,40000,2293
20000,63,First,23723,40000,1891
20000,63,25%,17363,40000,2529
20000,63,Median,26436,40000,2351
20000,64,First,23141,40000,1627
20000,64,25%,17969,40000,2332
20000,64,Median,26391,40000,2300
20000,65,First,23235,40000,1688
20000,65,25%,16079,40000,2315
20000,65,Median,26610,40000,2308
20000,66,First,23367,40000,1677
20000,66,25%,17950,40000,2371
20000,66,Median,26522,40000,2442
20000,67,First,23287,40000,1661
20000,67,25%,17132,40000,2346
20000,67,Median,26928,40000,2313
20000,68,First,23211,40000,1655
20000,68,25%,16188,40000,2317
20000,68,Median,26449,40000,2341
20000,69,First,23305,40000,1668
20000,69,25%,16779,40000,2324
20000,69,Median,27700,40000,2314
20000,70,First,23199,40000,1673
20000,70,25%,16454,40000,2478
20000,70,Median,26766,40000,2327
20000,71,First,23579,40000,1676
20000,71,25%,17747,40000,2414
20000,71,Median,26985,40000,2348
20000,72,First,23811,40000,1799
20000,72,25%,17044,40000,2333
20000,72,Median,26054,40000,2286
20000,73,First,23925,40000,1707
20000,73,25%,16795,40000,2353
20000,73,Median,26750,40000,2332
20000,74,First,23217,40000,1655
20000,74,25%,16589,40000,2329
20000,74,Median,26481,40000,2327
20000,75,First,23333,40000,1659
20000,75,25%,16691,40000,2364
20000,75,Median,25689,40000,2302
20000,76,First,23077,40000,1633
20000,76,25%,16322,40000,2344
20000,76,Median,26851,40000,2285
20000,77,First,23559,40000,1693
20000,77,25%,17044,40000,2433
20000,77,Median,26325,40000,2431
20000,78,First,23519,40000,1655
20000,78,25%,16755,40000,2355
20000,78,Median,27159,40000,2322
20000,79,First,23443,40000,1658
20000,79,25%,17612,40000,2413
20000,79,Median,26276,40000,2369
20000,80,First,23381,40000,1689
20000,80,25%,17278,40000,2411
20000,80,Median,27334,40000,2389
20000,81,First,23331,40000,1702
20000,81,25%,16857,40000,2461
20000,81,Median,27880,40000,2436
20000,82,First,24013,40000,1790
20000,82,25%,17229,40000,2396
20000,82,Median,27228,40000,2370
20000,83,First,23739,40000,1748
20000,83,25%,16337,40000,2309
20000,83,Median,25882,40000,2262
20000,84,First,22929,40000,1667
20000,84,25%,16399,40000,2308
20000,84,Median,27017,40000,2327
20000,85,First,23395,40000,1662
20000,85,25%,17205,40000,2370
20000,85,Median,26227,40000,2306
20000,86,First,23583,40000,1675
20000,86,25%,16753,40000,2319
20000,86,Median,25633,40000,2305
20000,87,First,23877,40000,1693
20000,87,25%,15708,40000,2308
20000,87,Median,27059,40000,2366
20000,88,First,23515,40000,1670
20000,88,25%,16493,40000,2338
20000,88,Median,26810,40000,2441
20000,89,First,23415,40000,1678
20000,89,25%,16381,40000,2343
20000,89,Median,25593,40000,2429
20000,90,First,23619,40000,1666
20000,90,25%,15695,40000,2618
20000,90,Median,26324,40000,2537
20000,91,First,23525,40000,1873
20000,91,25%,16549,40000,2349
20000,91,Median,27259,40000,2384
20000,92,First,23063,40000,1653
20000,92,25%,15887,40000,2475
20000,92,Median,27180,40000,2387
20000,93,First,23749,40000,1675
20000,93,25%,16206,40000,2343
20000,93,Median,27076,40000,2339
20000,94,First,23445,40000,1781
20000,94,25%,16520,40000,2362
20000,94,Median,25713,40000,2319
20000,95,First,23571,40000,1861
20000,95,25%,17853,40000,2793
20000,95,Median,27383,40000,3096
20000,96,First,23009,40000,1816
20000,96,25%,15846,40000,2535
20000,96,Median,26669,40000,2528
20000,97,First,23569,40000,1849
20000,97,25%,16689,40000,3591
20000,97,Median,26974,40000,7220
20000,98,First,23355,40000,1819
20000,98,25%,16662,40000,2686
20000,98,Median,26366,40000,2511
20000,99,First,23657,40000,1702
20000,99,25%,17509,40000,2597
20000,99,Median,28822,40000,2340
20000,100,First,23247,40000,1612
20000,100,25%,15668,40000,2473
20000,100,Median,26771,40000,2325
20000,Average,First,23360.5,40000,1721
20000,Average,25%,16713.8,40000,2433
20000,Average,Median,26722.7,40000,2429
40000,1,First,45973,80000,3222
40000,1,25%,31641,80000,4559
40000,1,Median,51087,80000,4480
40000,2,First,45551,80000,3254
40000,2,25%,32878,80000,4682
40000,2,Median,51587,80000,4528
40000,3,First,45595,80000,3273
40000,3,25%,31447,80000,4599
40000,3,Median,51662,80000,5020
40000,4,First,45503,80000,3268
40000,4,25%,32527,80000,4811
40000,4,Median,50494,80000,4443
40000,5,First,45703,80000,3290
40000,5,25%,31658,80000,5075
40000,5,Median,51904,80000,5260
40000,6,First,46281,80000,3188
40000,6,25%,31297,80000,4795
40000,6,Median,52935,80000,4513
40000,7,First,45137,80000,3413
40000,7,25%,30805,80000,4316
40000,7,Median,52094,80000,4434
40000,8,First,45811,80000,3257
40000,8,25%,32055,80000,4499
40000,8,Median,50195,80000,4648
40000,9,First,46115,80000,3290
40000,9,25%,30746,80000,4648
40000,9,Median,50927,80000,4369
40000,10,First,45121,80000,5036
40000,10,25%,30403,80000,5815
40000,10,Median,51757,80000,4408
40000,11,First,45923,80000,3168
40000,11,25%,31652,80000,4373
40000,11,Median,51403,80000,4317
40000,12,First,45693,80000,3121
40000,12,25%,29236,80000,4324
40000,12,Median,50372,80000,4389
40000,13,First,45287,80000,3171
40000,13,25%,30307,80000,4826
40000,13,Median,51079,80000,4671
40000,14,First,45449,80000,3213
40000,14,25%,30605,80000,4487
40000,14,Median,51942,80000,4553
40000,15,First,45841,80000,3220
40000,15,25%,30527,80000,5150
40000,15,Median,51473,80000,4550
40000,16,First,45353,80000,3193
40000,16,25%,32151,80000,4497
40000,16,Median,51716,80000,5031
40000,17,First,45781,80000,3112
40000,17,25%,31218,80000,4354
40000,17,Median,51224,80000,4522
