ArraySize,Run,Kth,EmpiricalComparisons,ExpectedComparisons,RunningTime(us)
40000,14,25%,204004,135440,1945
40000,14,Median,91714,135440,760
40000,15,First,111779,135440,720
40000,15,25%,109827,135440,1012
40000,15,Median,147156,135440,801
40000,16,First,40001,135440,237
40000,16,25%,103439,135440,964
40000,16,Median,139490,135440,969
40000,17,First,3,135440,19
40000,17,25%,110185,135440,1134
40000,17,Median,127085,135440,774
40000,18,First,40000,135440,234
40000,18,25%,156125,135440,1390
40000,18,Median,158246,135440,1120
40000,19,First,84377,135440,584
40000,19,25%,169457,135440,902
40000,19,Median,179061,135440,825
40000,20,First,40002,135440,219
40000,20,25%,219029,135440,1416
40000,20,Median,103882,135440,840
40000,21,First,62884,135440,430
40000,21,25%,119684,135440,843
40000,21,Median,101735,135440,696
40000,22,First,3,135440,16
40000,22,25%,107693,135440,1026
40000,22,Median,97229,135440,750
40000,23,First,70214,135440,470
40000,23,25%,181938,135440,1148
40000,23,Median,117519,135440,840
40000,24,First,59952,135440,421
40000,24,25%,125842,135440,1026
40000,24,Median,159091,135440,815
40000,25,First,40001,135440,289
40000,25,25%,102828,135440,707
40000,25,Median,108336,135440,683
40000,26,First,2,135440,10
40000,26,25%,200945,135440,1896
40000,26,Median,167635,135440,780
40000,27,First,74105,135440,426
40000,27,25%,90794,135440,665
40000,27,Median,91723,135440,702
40000,28,First,40000,135440,248
40000,28,25%,176898,135440,1683
40000,28,Median,118426,135440,824
40000,29,First,2,135440,18
40000,29,25%,249746,135440,2172
40000,29,Median,148031,135440,739
40000,30,First,40001,135440,316
40000,30,25%,121810,135440,938
40000,30,Median,164587,135440,1100
40000,31,First,2,135440,16
40000,31,25%,300454,135440,2258
40000,31,Median,100645,135440,725
40000,32,First,2,135440,17
40000,32,25%,182899,135440,1864
40000,32,Median,128199,135440,780
40000,33,First,2,135440,17
40000,33,25%,121822,135440,994
40000,33,Median,146273,135440,1289
40000,34,First,155972,135440,932
40000,34,25%,169331,135440,1091
40000,34,Median,70073,135440,313
40000,35,First,86087,135440,644
40000,35,25%,58223,135440,684
40000,35,Median,126242,135440,917
40000,36,First,71604,135440,450
40000,36,25%,195084,135440,1298
40000,36,Median,140941,135440,753
40000,37,First,2,135440,8
40000,37,25%,100227,135440,1243
40000,37,Median,127895,135440,803
40000,38,First,56970,135440,409
40000,38,25%,119602,135440,719
40000,38,Median,96994,135440,575
40000,39,First,40000,135440,253
40000,39,25%,166319,135440,1339
40000,39,Median,180102,135440,1115
40000,40,First,40002,135440,279
40000,40,25%,198200,135440,1348
40000,40,Median,167733,135440,726
40000,41,First,79550,135440,432
40000,41,25%,132179,135440,1425
40000,41,Median,73262,135440,539
40000,42,First,2,135440,8
40000,42,25%,158127,135440,1675
40000,42,Median,91297,135440,672
40000,43,First,83726,135440,609
40000,43,25%,89655,135440,662
40000,43,Median,124762,135440,736
40000,44,First,40000,135440,219
40000,44,25%,96614,135440,1113
40000,44,Median,109537,135440,656
40000,45,First,40000,135440,278
40000,45,25%,106942,135440,989
40000,45,Median,101947,135440,750
40000,46,First,2,135440,19
40000,46,25%,196087,135440,1777
40000,46,Median,86733,135440,514
40000,47,First,2,135440,17
40000,47,25%,135799,135440,1430
40000,47,Median,113144,135440,666
40000,48,First,40001,135440,262
40000,48,25%,153800,135440,1399
40000,48,Median,116947,135440,818
40000,49,First,2,135440,8
40000,49,25%,121608,135440,1142
40000,49,Median,134703,135440,880
40000,50,First,79783,135440,476
40000,50,25%,219020,135440,1711
40000,50,Median,117522,135440,765
40000,51,First,40000,135440,334
40000,51,25%,143106,135440,1252
40000,51,Median,92652,135440,873
40000,52,First,2,135440,9
40000,52,25%,105091,135440,1148
40000,52,Median,105641,135440,683
40000,53,First,3,135440,19
40000,53,25%,127708,135440,1237
40000,53,Median,122000,135440,873
40000,54,First,3,135440,19
40000,54,25%,164298,135440,1342
40000,54,Median,175486,135440,1117
40000,55,First,2,135440,17
40000,55,25%,88901,135440,930
40000,55,Median,123674,135440,789
40000,56,First,40001,135440,255
40000,56,25%,121465,135440,1111
40000,56,Median,102778,135440,762
40000,57,First,2,135440,17
40000,57,25%,150175,135440,1401
40000,57,Median,104376,135440,937
40000,58,First,40001,135440,295
40000,58,25%,129135,135440,1105
40000,58,Median,142955,135440,835
40000,59,First,40002,135440,262
40000,59,25%,165036,135440,1401
40000,59,Median,124394,135440,791
40000,60,First,40001,135440,248
40000,60,25%,120509,135440,1075
40000,60,Median,109035,135440,1016
40000,61,First,2,135440,16
40000,61,25%,145786,135440,1395
40000,61,Median,169221,135440,959
40000,62,First,3,135440,16
40000,62,25%,79011,135440,688
40000,62,Median,131226,135440,664
40000,63,First,2,135440,16
40000,63,25%,123095,135440,1191
40000,63,Median,140301,135440,861
40000,64,First,3,135440,16
40000,64,25%,90526,135440,913
40000,64,Median,39999,135440,117
40000,65,First,2,135440,17
40000,65,25%,159173,135440,1224
40000,65,Median,138539,135440,1018
40000,66,First,2,135440,8
40000,66,25%,186919,135440,1612
40000,66,Median,79083,135440,525
40000,67,First,40001,135440,226
40000,67,25%,162406,135440,1430
40000,67,Median,104609,135440,694
40000,68,First,40000,135440,219
40000,68,25%,140934,135440,1092
40000,68,Median,100489,135440,843
40000,69,First,3,135440,17
40000,69,25%,84252,135440,752
40000,69,Median,137337,135440,693
40000,70,First,40001,135440,251
40000,70,25%,215856,135440,1739
40000,70,Median,110540,135440,632
40000,71,First,2,135440,19
40000,71,25%,166146,135440,2965
40000,71,Median,150270,135440,1401
40000,72,First,2,135440,36
40000,72,25%,110733,135440,1820
40000,72,Median,75892,135440,1483
40000,73,First,40000,135440,255
40000,73,25%,241314,135440,1869
40000,73,Median,167281,135440,1601
40000,74,First,3,135440,20
40000,74,25%,174118,135440,1727
40000,74,Median,127011,135440,1538
40000,75,First,40001,135440,362
40000,75,25%,95750,135440,1106
40000,75,Median,207030,135440,1301
40000,76,First,40000,135440,282
40000,76,25%,109139,135440,1207
40000,76,Median,155906,135440,1285
40000,77,First,40000,135440,301
40000,77,25%,218127,135440,1682
40000,77,Median,176830,135440,1137
40000,78,First,2,135440,18
40000,78,25%,118708,135440,1283
40000,78,Median,152534,135440,1133
40000,79,First,2,135440,9
40000,79,25%,209494,135440,2052
40000,79,Median,151662,135440,971
40000,80,First,2,135440,8
40000,80,25%,159849,135440,1493
40000,80,Median,137929,135440,1014
40000,81,First,40002,135440,242
40000,81,25%,141553,135440,1468
40000,81,Median,107360,135440,539
40000,82,First,74675,135440,427
40000,82,25%,152141,135440,1006
40000,82,Median,118921,135440,960
40000,83,First,40001,135440,248
40000,83,25%,75699,135440,1042
40000,83,Median,109282,135440,875
40000,84,First,54651,135440,370
40000,84,25%,170436,135440,975
40000,84,Median,120132,135440,1163
40000,85,First,106388,135440,643
40000,85,25%,78874,135440,319
40000,85,Median,101083,135440,677
40000,86,First,40001,135440,300
40000,86,25%,113063,135440,918
40000,86,Median,99570,135440,890
40000,87,First,40002,135440,248
40000,87,25%,104617,135440,1207
40000,87,Median,108170,135440,842
40000,88,First,40001,135440,315
40000,88,25%,138099,135440,1130
40000,88,Median,167919,135440,906
40000,89,First,72498,135440,520
40000,89,25%,74111,135440,842
40000,89,Median,71969,135440,435
40000,90,First,2,135440,8
40000,90,25%,266959,135440,1951
40000,90,Median,156082,135440,959
40000,91,First,40002,135440,292
40000,91,25%,192909,135440,1527
40000,91,Median,125315,135440,1045
40000,92,First,2,135440,9
40000,92,25%,200670,135440,1829
40000,92,Median,107147,135440,936
